shipmentid,orderid,shipmentdate,estimateddeliverydate,actualdeliverydate,carrier,trackingnumber
1573,2081,2022-07-28,2021-06-06,,FedEx,b01a0ed4-47e4-4c3a-ba30-ca35dd531899
1574,3100,2020-07-16,2022-06-20,,USPS,
1575,859,2023-08-04,2020-08-10,,Local Courier,7ea1c810-3f2c-43ae-a714-8c81fd6cf244
1576,1076,2022-05-28,2022-01-12,2023-06-13,DHL,
1577,160,2021-07-03,2020-01-21,,Local Courier,
1578,2130,2023-02-21,2022-05-05,,UPS,
1579,534,2021-04-14,2020-02-06,,Local Courier,95f8aaec-88a8-43e8-864c-94626e1dae64
1580,1657,2023-11-20,2023-09-02,2020-08-10,USPS,
1581,2133,2020-01-11,2021-02-14,,DHL,a9d9979e-4f7d-43f7-aa23-da7b7e51c4ae
1582,129,2023-07-25,2023-09-17,,UPS,41aed561-9be8-4a8d-8cfc-098ce222be3d
1583,2256,2023-06-09,2020-12-08,2021-02-26,Local Courier,
1584,654,2020-08-23,2022-07-08,,USPS,ed31d27e-227e-4ddc-ba36-fc19d4df06c5
1585,1032,2020-03-08,2023-06-21,,USPS,4c7d885c-7211-4fd3-bbea-393ef2970ea4
1586,421,2020-04-28,2023-06-19,,FedEx,
1587,2141,2023-04-26,2022-02-07,,USPS,
1588,806,2023-02-03,2021-08-25,,DHL,
1589,2372,2020-12-20,2021-06-26,,FedEx,
1590,2598,2022-01-17,2021-05-19,,FedEx,f8ea0333-97bd-40e3-8439-1d88325a89f3
1591,2420,2022-01-01,2022-12-04,,UPS,36c9d006-4ec9-4e22-ac75-50456818daac
1592,1474,2023-01-25,2023-08-08,2023-03-23,FedEx,6cf5dde9-d14e-49a0-afd8-4241a470a6d4
1593,1068,2021-12-02,2023-06-16,2023-05-31,DHL,783262cc-8dcf-448c-a73c-8cec9daea6bf
1594,480,2021-06-28,2021-05-27,2020-05-11,DHL,c9bc104f-25fd-4496-9ce9-c80d4e002013
1595,1369,2021-11-18,2020-03-16,2022-07-01,UPS,
1596,177,2020-11-02,2023-05-11,,Local Courier,7c8613bf-5629-471a-8567-8407caff4ca9
1597,711,2023-10-13,2022-12-26,,DHL,090bed9b-1246-473d-8dc6-ccda72a07a86
1598,161,2020-02-26,2021-11-20,2020-11-03,USPS,fae4b008-1245-4d1c-be5c-b27ff46b692f
1599,170,2020-10-07,2023-12-09,,FedEx,61cf5ae4-963e-45fe-9408-db8348d86ff9
1600,1325,2022-05-17,2021-12-20,,FedEx,dc001937-cf7f-4abe-8860-ab7bec75af81
1601,197,2021-07-02,2020-01-23,,USPS,c57b9940-6678-474e-93eb-2c4c8e77e1bb
1602,885,2023-06-02,2021-10-23,,USPS,03d3c3aa-10e6-41c2-902d-7fc826943bd2
1603,2565,2022-09-07,2022-08-02,2022-08-04,UPS,
1604,2381,2022-08-04,2021-07-16,2022-04-10,DHL,b5b9f466-2a79-4d7a-b62c-9ae89c58ccd8
1605,2375,2023-04-20,2021-01-27,2020-03-26,UPS,
1606,2234,2023-01-22,2021-09-15,,USPS,
1607,2037,2023-04-22,2022-02-02,,UPS,
1608,1278,2021-12-20,2023-02-17,,DHL,
1609,548,2022-05-15,2022-11-28,,DHL,16ca2ac4-05bb-4af9-be75-13ecade4c0eb
1610,2530,2020-01-12,2023-05-13,,USPS,
1611,602,2020-06-10,2020-12-09,2023-08-21,Local Courier,
1612,771,2022-10-13,2022-08-11,,USPS,ba433f81-5a74-4231-8a35-f2e6d157e8c9
1613,720,2023-01-26,2022-02-22,2021-03-08,Local Courier,7263b184-6874-4056-9c25-7ef79faf7a2f
1614,1029,2022-07-11,2023-03-31,,FedEx,
1615,2405,2020-02-17,2020-07-20,2022-11-23,UPS,
1616,42,2021-06-13,2022-07-16,2023-07-26,DHL,71cdcfbd-ea30-417d-bac3-ae6b1a1381d6
1617,1323,2022-02-24,2020-08-13,,DHL,f5c0fba8-bce1-4b20-81fc-7e82dda38918
1618,2374,2020-09-13,2021-07-26,,UPS,c25035d1-5337-416a-b18c-062d5615c113
1619,37,2021-06-20,2020-03-28,2023-09-22,DHL,
1620,1628,2023-03-04,2021-05-30,2020-01-19,FedEx,7a79b032-396d-4d28-b926-490c55857004
1621,2677,2021-08-25,2020-03-26,2020-10-02,Local Courier,
1622,20,2023-06-27,2020-06-10,2021-12-21,FedEx,a1a7b553-d3a3-45cc-9645-a6dabbbf59b7
1623,1458,2020-04-18,2020-08-01,,USPS,6e53189f-33b1-4841-a915-21c8cd8c9f2a
1624,2225,2021-12-10,2020-04-25,,DHL,
1625,361,2022-02-24,2022-03-19,2021-04-19,DHL,bb5c7c4d-d0c7-41bf-abb4-65ef87a1b2da
1626,828,2022-04-12,2023-03-04,2021-06-03,DHL,40f3ef82-4262-4acd-871a-328a0e098dbd
1627,3058,2020-11-27,2023-01-25,2021-06-15,FedEx,2fd71250-0b47-4ff7-ba2c-2e8c97c47422
1628,2088,2021-07-19,2023-07-28,,USPS,
1629,1620,2020-05-05,2020-02-22,2022-06-14,DHL,ad50ce37-9d81-42fb-bb68-0afbc8033a78
1630,1854,2020-06-13,2022-08-16,2023-04-30,FedEx,
1631,1634,2023-12-28,2021-11-02,2023-10-07,FedEx,39ba2664-64b2-4ce4-b014-c2a16c6013b2
1632,864,2021-05-04,2020-12-11,,USPS,dfb11435-4e85-41fd-b3c5-e5e890025eae
1633,1469,2021-09-04,2022-09-16,,USPS,efc8c773-2c2f-48bd-a880-aadda1f39b09
1634,677,2023-06-09,2022-10-24,2022-11-23,UPS,
1635,860,2020-01-20,2022-02-18,2022-04-18,UPS,0c5f963d-2dc0-40c9-b271-8f11a810f223
1636,2285,2020-01-25,2021-01-16,,FedEx,30a97be3-ec19-4d48-a27d-9e0b64a10f17
1637,1215,2020-12-07,2020-12-22,2021-01-13,Local Courier,ece5612b-00a8-474a-a11a-991c8ba5b090
1638,2853,2022-06-03,2021-07-26,,FedEx,
1639,552,2022-12-07,2020-07-02,,UPS,58bd862a-3e37-4c9c-9e94-f3cf441fed29
1640,1016,2021-10-30,2020-11-17,2023-02-25,DHL,a75c1adf-3ef8-4ef5-b881-cb1d60285ab6
1641,1344,2021-05-27,2023-02-26,,FedEx,
1642,3092,2020-08-30,2020-12-08,,DHL,c5dc67d4-b014-44a1-859e-31a75d289cf1
1643,727,2020-12-01,2022-05-19,,DHL,
1644,2539,2021-11-04,2022-03-07,,DHL,949ed9e7-37eb-4217-925f-656ab268b1c6
1645,2712,2020-01-22,2021-04-11,,UPS,
1646,2604,2023-11-05,2021-07-26,,Local Courier,b6d73042-7bb4-4d4f-b92c-74a7d047a71e
1647,85,2021-03-24,2021-09-25,2022-05-14,UPS,de2c6e33-7295-4732-84b7-a2226e6cde5f
1648,1000,2023-09-27,2020-04-26,,Local Courier,ad8d088a-4feb-44ea-b036-6ab8a4687a64
1649,2725,2020-04-17,2020-08-24,2020-07-21,DHL,
1650,1625,2020-11-06,2022-03-08,,Local Courier,
1651,64,2020-04-01,2023-02-26,2020-11-03,USPS,2fd542c0-9132-461b-b533-cbece61e44b1
1652,1815,2021-06-27,2022-03-21,2020-09-24,DHL,
1653,2434,2020-09-09,2023-11-23,,USPS,41f746cc-0098-4c9b-9e75-28f752e8b7cb
1654,3025,2023-10-22,2021-03-25,2020-06-13,USPS,
1655,1050,2023-06-08,2021-03-19,,FedEx,c42cc970-ddce-496b-9a2f-729bd66a2c04
1656,207,2020-04-16,2021-03-11,,UPS,1a86ba0a-671e-4c19-9c0e-2bb7619ffbce
1657,2730,2023-01-04,2020-09-07,2020-12-12,Local Courier,f8a52dbf-136f-430b-816d-155e09e75848
1658,703,2022-11-24,2023-12-06,2020-07-29,DHL,
1659,2152,2022-06-12,2022-09-06,2023-08-24,FedEx,5c514778-bd09-45e8-abb7-8356a6dab748
1660,1289,2021-05-21,2020-05-08,,UPS,952c8cfc-5006-4c94-bbd2-44811684eec5
1661,1631,2021-09-27,2022-10-22,,DHL,
1662,2247,2021-05-06,2022-03-01,,UPS,86f32474-1ea1-49b9-bb5a-c423e692467d
1663,2314,2023-04-07,2021-01-16,,FedEx,b9b2bd28-0c55-4be1-be1f-2f10abdb7f43
1664,2069,2021-12-02,2021-08-16,2023-07-11,DHL,
1665,2048,2023-12-18,2021-06-27,,USPS,
1666,1955,2020-06-12,2023-06-18,2021-09-21,Local Courier,38acbf99-3eb1-4c84-a0a5-2676c3aaddc9
1667,2897,2020-02-28,2021-01-08,2020-10-18,UPS,
1668,2658,2023-05-18,2020-01-14,,Local Courier,
1669,629,2023-01-28,2020-12-13,2020-03-09,Local Courier,6ab3560d-16e5-45b0-8608-69ef11e749e8
1670,670,2020-07-01,2023-12-13,2022-12-06,USPS,76e75e8e-55ef-4b83-b6f6-3973d425246e
1671,863,2023-05-15,2022-10-28,,USPS,e2bbc07b-560f-40e1-aa9a-2a3609ee2255
1672,170,2023-03-31,2023-06-02,2020-05-25,FedEx,6a5bec21-59b9-4e34-bf58-a537846b7cf6
1673,2605,2023-04-27,2022-12-21,,UPS,b546893d-bff2-4d49-830e-e84b14309d37
1674,2508,2022-03-28,2023-03-10,2020-01-31,UPS,edfb6375-fa65-4ed3-bdee-0447bc3eb811
1675,173,2023-02-13,2021-08-22,2022-08-21,DHL,d6ff762c-319a-433d-b816-8aa12bcc4455
1676,2987,2023-09-23,2021-10-26,,UPS,
1677,2340,2021-05-19,2020-05-02,2023-07-08,FedEx,
1678,1718,2021-06-07,2022-02-19,,FedEx,a20c0a4b-b6e8-4906-bc22-9ced976a2dc3
1679,669,2021-03-15,2023-05-30,2022-11-09,DHL,
1680,672,2020-03-31,2022-08-05,2022-03-24,Local Courier,5198b6c1-e272-41c0-9393-2b2929616d93
1681,938,2020-11-07,2020-09-05,,Local Courier,b4593d3d-cbd3-470d-9b8f-fdc2945cc2ee
1682,1277,2021-07-17,2023-06-17,2021-02-10,DHL,354045c1-2c39-4ce1-bae9-eb855382aeff
1683,2527,2022-06-05,2023-03-06,,FedEx,31dec28c-045b-4a67-94a1-04779cdf8342
1684,762,2023-03-19,2022-03-23,,DHL,c3004c75-b10b-4679-8688-66c6447bc4d5
1685,648,2023-01-19,2020-06-23,2023-02-18,UPS,fbd2ed13-cbf2-44c7-a445-dc367c4c2374
1686,546,2021-05-23,2023-11-13,2023-07-25,DHL,dae9f72a-5fdf-44d8-8fa8-3eb1242dcbcf
1687,1712,2022-04-16,2023-03-03,,UPS,
1688,81,2022-06-10,2021-03-29,,FedEx,d5905670-c5a9-45b8-9eef-1c4e2717f7d7
1689,2421,2021-03-02,2023-01-05,,FedEx,9f7b6a8a-b863-48d2-bfb5-2bf2d3f39848
1690,2017,2023-12-27,2020-05-29,2023-11-26,Local Courier,
1691,2033,2021-04-01,2021-01-17,2021-04-09,DHL,
1692,2192,2023-04-23,2021-10-13,,Local Courier,
1693,191,2023-05-14,2022-10-24,,USPS,
1694,417,2020-02-11,2021-01-10,2022-08-21,UPS,
1695,1761,2021-02-11,2022-09-10,,DHL,
1696,1579,2022-05-30,2020-02-24,2022-06-17,DHL,a13716a0-afa0-482e-b466-dcdaca98977b
1697,2014,2021-05-10,2022-03-16,,Local Courier,
1698,520,2023-02-21,2023-03-25,2020-02-08,FedEx,6cd06db2-411c-474a-811d-e7871375d758
1699,2095,2023-09-25,2020-04-17,,USPS,1e9f25cd-5209-4eef-ab11-cfafb7d5efc9
1700,32,2023-07-24,2022-11-06,2021-12-09,DHL,885035b9-e33c-42a7-a162-262509d56592
1701,36,2023-04-24,2022-11-03,,USPS,
1702,1199,2021-05-23,2023-12-30,2023-01-13,UPS,f3706369-52e0-405c-8c91-a10d9130086a
1703,2005,2022-05-12,2023-06-10,2022-11-23,USPS,65ce38d3-8605-4b43-bc01-402e781e32d8
1704,2455,2021-08-27,2021-12-06,,DHL,
1705,981,2021-12-30,2021-11-02,,DHL,1eed9f62-0034-45d9-88b8-507f850fd032
1706,1139,2022-08-21,2020-06-09,2022-12-08,FedEx,81d2b413-072f-4124-9ce3-58386ca093a0
1707,485,2023-10-25,2023-12-06,2020-03-10,USPS,
1708,106,2021-01-09,2021-01-11,,FedEx,f9247bed-cee8-494c-85d2-edc2f159e767
1709,2931,2021-10-16,2021-12-20,2023-12-12,FedEx,
1710,2130,2023-05-19,2021-04-15,2023-02-22,UPS,
1711,2749,2020-07-28,2020-03-19,2022-05-04,Local Courier,
1712,2669,2020-03-29,2020-09-29,,DHL,192c5036-1f5a-4921-83d5-47cb2c9da139
1713,1162,2023-07-31,2022-12-17,,FedEx,
1714,2015,2020-03-01,2021-10-09,2021-08-08,DHL,8ed79e85-6581-4929-ac9d-40a3add7989e
1715,1358,2021-09-11,2023-12-10,,DHL,fc8dd27d-a670-434d-a20a-7adf72d04252
1716,736,2020-02-27,2023-12-19,,DHL,0262abfe-7b70-4dd4-a0fb-229729754368
1717,2602,2020-09-07,2022-05-28,2023-09-10,DHL,2343dec5-6202-4eba-b9dd-8fe0661aa372
1718,333,2022-01-18,2022-05-19,,UPS,536c0a1f-9898-4b5a-9436-090c548a82b8
1719,3083,2022-11-09,2020-11-10,2022-01-20,USPS,
1720,2453,2021-03-19,2022-06-03,2022-05-06,DHL,
1721,1971,2022-12-31,2023-06-13,2021-08-20,DHL,3165371c-04a3-4166-9e1f-99b4e2799db3
1722,2925,2021-01-16,2023-06-23,2021-06-22,DHL,
1723,835,2021-06-02,2023-11-26,2020-12-24,FedEx,3035de5c-ca8d-4a92-b9c5-e4d57057ce1a
1724,1075,2022-10-10,2023-01-06,2021-06-11,FedEx,
1725,1454,2021-06-22,2021-07-04,,DHL,
1726,2292,2023-12-15,2020-04-05,,USPS,
1727,561,2022-03-17,2021-07-26,,FedEx,0d021640-c6c9-42d9-9682-596ee03e1d47
1728,866,2020-01-04,2023-05-12,,USPS,6e629fc1-8f8a-4a89-b615-ab983ab91332
1729,2426,2022-11-29,2022-01-07,,DHL,42a34af7-f661-4265-8dc4-3b3f1c6795fe
1730,1748,2022-07-18,2021-11-24,2021-05-09,USPS,
1731,2249,2020-02-02,2022-10-01,,USPS,
1732,895,2023-09-18,2020-11-03,,DHL,cb9c1e2b-c70d-481f-b285-dfdec292a5ba
1733,1191,2022-04-09,2022-01-18,,FedEx,
1734,2485,2020-11-18,2023-03-23,2020-06-15,UPS,
1735,565,2021-02-23,2021-06-21,,USPS,
1736,2832,2022-08-07,2021-10-12,,FedEx,
1737,1873,2020-07-27,2023-05-24,2020-03-13,USPS,
1738,2663,2021-12-09,2021-08-09,,Local Courier,
1739,535,2020-04-25,2020-09-27,2023-05-31,DHL,
1740,2995,2020-10-30,2022-01-17,,Local Courier,
1741,1840,2021-06-22,2020-12-24,2020-07-05,Local Courier,37f5fc2d-5199-4d2a-b3d5-6b52f39bd4ef
1742,162,2022-12-29,2021-12-19,2023-10-21,Local Courier,
1743,2089,2020-02-20,2022-01-25,2020-03-29,DHL,28b96b46-5e1f-4cca-814d-adb5c0f9bbb5
1744,2413,2020-03-23,2020-10-28,,UPS,cb8cb7db-ace2-44a4-bec7-ee4a83f90a61
1745,2654,2023-07-31,2022-10-06,2023-11-22,UPS,
1746,746,2021-04-05,2020-06-28,,USPS,
1747,262,2022-06-21,2020-09-13,2021-02-08,FedEx,cb845adc-da21-43e3-971a-de947042327f
1748,1242,2020-12-20,2020-12-02,2020-01-12,UPS,
1749,1199,2021-01-15,2020-04-18,,DHL,
1750,2357,2020-03-02,2020-05-11,2022-08-25,UPS,
1751,1440,2022-07-14,2022-12-29,,UPS,0f077f6c-60d4-4164-b7c5-8a632e96b699
1752,1136,2021-01-29,2020-12-08,,FedEx,3961242a-eb2c-4adb-94a7-bafbb05093a7
1753,1578,2023-09-03,2020-10-31,2020-09-15,Local Courier,
1754,82,2021-05-19,2021-12-27,,DHL,
1755,228,2021-04-26,2022-01-17,2021-03-27,FedEx,
1756,2805,2022-12-11,2022-12-05,2021-09-26,DHL,0973e579-6767-47f7-9de4-47bde1268e2e
1757,1334,2023-07-20,2020-04-21,2021-05-02,USPS,
1758,442,2020-02-06,2021-11-08,2020-04-07,FedEx,2fdf6f62-40ac-44af-8328-40d018304e8a
1759,1992,2021-06-28,2020-01-06,,USPS,6fa54a7d-1bcf-43f9-98e8-f417311ada81
1760,1346,2020-03-01,2023-06-11,2022-05-25,UPS,
1761,2821,2022-03-07,2022-09-17,2023-05-10,DHL,4e6f1b6b-af43-4f91-a71d-d67b206c62b2
1762,1329,2020-09-27,2020-03-01,2022-07-30,USPS,
1763,690,2023-03-21,2022-05-20,,DHL,270725e1-2f4c-44a4-bc32-93fbd961d01a
1764,1252,2020-11-17,2021-01-16,,Local Courier,6372bfd9-e052-4c01-93ce-b7e7ddcfafb9
1765,2378,2022-09-18,2021-04-17,2020-05-02,USPS,86e66876-ff5b-4cae-a238-e1c46c520e15
1766,30,2022-01-26,2020-02-18,2022-07-21,UPS,
1767,2675,2022-04-08,2021-01-02,,UPS,
1768,2869,2021-07-15,2023-10-01,2021-10-01,FedEx,738df820-ca23-45db-8ff9-2be0886e8b5f
1769,2481,2020-07-24,2022-04-06,2020-02-16,UPS,4c988a32-7d5f-41d9-8f68-b2adce167f05
1770,467,2021-11-25,2021-12-17,,FedEx,
1771,760,2023-07-04,2022-01-08,,UPS,
1772,2264,2023-08-28,2023-12-22,2021-08-20,UPS,474344b7-bc52-4d73-97f1-c1da2ab80cd8
1773,860,2023-11-16,2021-11-21,2023-11-13,Local Courier,
1774,779,2022-07-26,2021-03-06,,FedEx,
1775,900,2022-02-26,2023-07-06,2022-08-21,USPS,
1776,1037,2023-12-14,2022-02-09,2023-12-07,Local Courier,920998b6-2af6-43cb-9506-50a0ed51bada
1777,1513,2021-01-26,2020-11-21,2020-08-17,DHL,4376a5c6-70ce-4139-ad8c-2e83f15fb11e
1778,2726,2020-09-24,2022-10-20,2020-12-14,USPS,cbaa8ac8-da1d-4998-b900-4e19c7326410
1779,67,2023-10-10,2023-07-22,2023-12-11,UPS,2e2fd2a6-b125-4aee-83d3-46b3eb0beb32
1780,2783,2022-04-29,2021-09-29,,UPS,
1781,2052,2020-01-16,2021-02-06,,DHL,c82bd4a2-ab78-4885-94d3-84f128688c8b
1782,1409,2020-10-05,2021-06-14,,Local Courier,
1783,2584,2020-05-07,2021-01-17,,DHL,327a1283-fbe4-4d00-9c4d-1337cdef1ce9
1784,143,2023-01-12,2022-02-03,,DHL,095ac1e6-d3b6-432e-9539-cef4595d6fc1
1785,157,2023-12-22,2021-05-07,,USPS,
1786,652,2021-05-22,2020-07-21,2023-12-08,DHL,
1787,1573,2022-11-26,2020-01-17,2021-01-29,Local Courier,216e1864-47d8-4341-8f0a-1c1836802091
1788,749,2023-08-23,2020-09-30,2021-11-28,DHL,
1789,1974,2020-02-05,2022-07-12,,UPS,402083af-7076-445f-8108-13656b3b85ff
1790,178,2022-08-21,2020-09-28,,USPS,9df155ca-aa6a-4e31-a957-4aaa130ee4cf
1791,395,2021-08-31,2023-04-01,2022-02-12,UPS,b37d1df2-33bd-47cf-9174-49ff2f0ad0dc
1792,2775,2021-10-19,2020-01-30,,DHL,acdd53da-0f6c-4c13-9674-54108a1e90e9
1793,1934,2020-12-18,2021-02-05,,Local Courier,ccecce9b-90e3-43d3-9ef3-d27be9408add
1794,1968,2020-06-05,2021-01-31,2020-11-26,Local Courier,a651c84d-20ff-4461-a6f0-d8694ed03bae
1795,1175,2023-05-12,2021-09-04,,Local Courier,
1796,1647,2022-09-29,2021-11-28,2021-12-19,FedEx,462cb029-ac61-4bd5-88c0-edd3649bdae2
1797,1169,2023-04-12,2020-06-30,,FedEx,
1798,1291,2022-09-18,2021-12-16,,Local Courier,
1799,1398,2023-01-23,2020-12-20,,USPS,a97594e5-2352-4979-82a4-5449537640a6
1800,454,2020-07-04,2023-05-02,,Local Courier,64f57e13-32da-4cae-a04c-9403ecd0e6eb
1801,79,2023-01-17,2023-01-24,,UPS,
1802,1809,2022-09-08,2021-04-27,,UPS,7be195f6-c70f-4136-927b-e8fa6d0151d1
1803,1159,2020-04-18,2023-01-25,,FedEx,b6d31747-75bd-430a-a7c3-e02516152c16
1804,2581,2023-11-14,2020-07-18,,DHL,
1805,206,2020-05-03,2021-07-31,,UPS,377663a7-bd91-417d-8be7-874a1367e85f
1806,466,2022-11-29,2023-02-28,,FedEx,61377594-696f-4230-a9f4-fc8ad17559c9
1807,473,2023-08-31,2021-01-20,,USPS,ce67e94d-55a8-407c-b699-9d67117ae059
1808,1101,2020-09-16,2022-06-28,,USPS,
1809,2906,2021-05-18,2021-12-15,2021-12-05,FedEx,
1810,1945,2023-09-10,2021-03-27,,USPS,4a8dd0ce-7c25-4e60-86ec-9bf9127ef968
1811,561,2023-06-17,2023-09-25,,USPS,
1812,810,2021-01-09,2021-09-19,2020-05-03,DHL,
1813,1032,2021-02-25,2020-02-08,,DHL,04067eba-13b7-4bb2-b948-306b4a42ddbb
1814,331,2023-03-23,2023-03-03,2022-01-07,FedEx,
1815,1167,2022-10-30,2021-01-14,,USPS,64ddc4e4-534b-46ea-8f06-af90f6755649
1816,3068,2020-10-06,2023-10-15,2023-08-09,USPS,
1817,1625,2021-08-19,2021-10-12,,Local Courier,fe71f7b8-4ae1-4ea2-9ce8-93e935d05380
1818,326,2023-05-15,2021-05-07,2022-08-28,UPS,
1819,576,2022-01-16,2023-05-15,2020-12-20,Local Courier,
1820,121,2021-01-22,2020-01-19,,FedEx,
1821,2281,2021-12-12,2020-12-02,2022-06-26,Local Courier,6cf78cac-2c3b-4533-af22-ef5b5798b099
1822,1657,2020-12-08,2022-05-10,2023-12-27,DHL,
1823,1865,2023-08-22,2021-03-22,,Local Courier,f1dd7909-df54-44db-8d02-6b975789f024
1824,634,2023-02-28,2020-04-22,2021-05-08,Local Courier,06898e4a-e975-4260-b06c-9debfbd88ee8
1825,2997,2022-03-09,2021-03-31,2021-03-16,DHL,8d7d146e-a9e7-442e-8153-cf64f4f69b36
1826,1633,2022-11-10,2021-01-26,2021-12-28,USPS,81ff1c41-99ae-48cf-93cf-d11d9b6a3532
1827,517,2022-09-21,2022-07-05,,Local Courier,
1828,2157,2023-07-15,2020-08-30,2022-01-22,Local Courier,13c78ff1-fef4-4f3d-8a25-a6c1344413f6
1829,824,2022-11-24,2020-09-14,,FedEx,e74c9573-9308-4633-8780-59c39ebe45a0
1830,1422,2022-12-04,2022-07-12,,USPS,
1831,508,2022-03-21,2020-03-23,,DHL,
1832,975,2023-03-04,2021-04-18,,FedEx,96ddd142-afc1-42b6-8796-7717e5c36f1b
1833,1526,2023-05-21,2022-01-27,,DHL,fa33ecda-542c-4f44-abe9-485fe6b12869
1834,642,2020-07-25,2020-04-22,,Local Courier,569f5566-da5f-4d60-a453-23c424fdd3ae
1835,550,2023-11-25,2023-07-22,2022-05-15,FedEx,1981acfa-2dd2-457c-8d90-bbba5ebaa613
1836,2307,2022-12-08,2022-01-26,,UPS,
1837,2588,2021-04-23,2021-04-13,,USPS,
1838,1101,2021-12-08,2020-10-14,,DHL,062a3dd4-617e-4f8c-81e6-23724a6b367d
1839,1164,2020-09-21,2021-12-13,,FedEx,8eb00050-9f0c-43a7-a659-bcc944d5a86f
1840,307,2020-04-19,2022-12-01,,UPS,995fbf11-868c-4475-896b-4c911542649c
1841,2549,2021-01-03,2020-05-31,,FedEx,ef87c703-66d9-4701-a1ea-e3f7dce76490
1842,938,2022-11-13,2021-12-21,2021-04-26,UPS,b0b3b796-b8bc-4399-a655-27e33229df7f
1843,2962,2020-01-14,2022-08-13,2022-04-16,USPS,06e59d7d-8817-473a-b60f-03e78798aab2
1844,592,2020-02-20,2021-04-17,,FedEx,
1951,1663,2021-03-21,2020-06-18,2023-02-07,UPS,
1845,1935,2021-05-28,2022-10-24,,UPS,e6f2f8f0-d56a-4cc4-b3b4-63031cd3cfea
1846,1128,2022-08-20,2020-05-19,,UPS,
1847,525,2023-07-23,2023-02-13,,UPS,
1848,746,2022-09-11,2023-12-14,,Local Courier,
1849,2509,2020-03-15,2022-01-02,2022-06-05,DHL,f113efd3-64df-4a53-95d2-43135848661a
1850,1197,2020-09-07,2023-11-04,,DHL,
1851,1540,2023-12-13,2023-08-25,,Local Courier,
1852,973,2021-02-08,2021-12-16,2022-08-01,UPS,eb470e1c-72f0-4968-a2f0-31050fe9791b
1853,1648,2023-04-17,2020-08-02,,DHL,
1854,1122,2020-11-21,2023-06-21,2022-01-08,FedEx,270f5af7-a44c-479f-a773-56db8e1f6b1c
1855,1595,2020-12-09,2022-11-07,2020-10-14,UPS,88f67099-2a58-4c47-87b0-1e63fe19fc49
1856,1472,2020-06-26,2022-11-26,,Local Courier,
1857,970,2021-09-16,2020-04-18,,UPS,75923fb4-8f8e-476a-a1b9-f8141ebd491c
1858,2895,2023-01-04,2023-12-26,2020-12-06,Local Courier,
1859,88,2021-10-13,2021-02-22,,Local Courier,a909bd2a-68f9-4813-9982-a0ff21ea1082
1860,1145,2023-10-29,2023-11-14,2021-04-29,USPS,cc813d15-2804-4a30-bf32-86ff9c5f5d5b
1861,2636,2023-12-02,2022-02-16,2021-01-23,FedEx,71e1c1e7-1079-48ee-8fe3-f0c3e16a8988
1862,2827,2020-04-07,2022-07-12,,Local Courier,
1863,1538,2021-12-05,2020-12-23,,UPS,4a5977ab-ec60-44da-af9d-6f8f4cd05d4b
1864,2185,2023-03-19,2023-05-01,2021-12-24,DHL,05df36bd-9240-429f-8794-7113085c1431
1865,730,2020-05-15,2021-06-26,,Local Courier,
1866,248,2020-11-16,2023-01-19,,Local Courier,
1867,398,2023-03-08,2020-05-28,,FedEx,6eb843b4-12b9-44be-bcc6-7ba13b1d8c31
1868,115,2020-12-26,2022-04-29,,Local Courier,d032f5d9-076e-4fd7-a9fc-da801f7e0736
1869,921,2022-04-18,2020-10-08,,Local Courier,232e3fa1-10ae-41ac-89ad-37fae550fd00
1870,2114,2021-05-02,2021-07-05,,Local Courier,
1871,497,2021-06-22,2021-01-27,,DHL,75e41581-2dc9-4ea4-8bb7-f4987bfe50e5
1872,530,2022-08-31,2021-11-24,,Local Courier,c944c088-37ff-4d7b-8365-e217a85754c7
1873,2211,2023-08-02,2023-09-28,2020-01-04,USPS,
1874,1002,2021-01-17,2023-06-11,,Local Courier,a503a975-c4ad-41e9-b0b2-cc9d487ca70a
1875,1935,2023-04-23,2020-02-21,2023-04-06,USPS,
1876,2792,2020-09-22,2023-03-05,2022-05-21,USPS,
1877,2134,2022-09-03,2021-02-15,,USPS,420d5411-950e-4db0-8a1b-5511a372d2ae
1878,183,2022-06-08,2023-06-15,2023-05-22,USPS,
1879,2469,2023-09-23,2021-05-09,,UPS,b94972d0-21bb-4f82-ae3e-3e951bbdb3a7
1880,950,2023-03-26,2022-11-05,2021-09-26,USPS,
1881,1134,2023-09-22,2020-02-15,2021-12-12,USPS,
1882,1784,2022-08-27,2023-01-06,,DHL,764a6e9a-87bb-49ef-b77e-43a55f318c26
1883,176,2023-03-30,2021-02-21,2020-04-15,Local Courier,
1884,392,2022-08-18,2021-02-26,2022-12-25,UPS,
1885,2508,2021-05-13,2020-06-20,2022-06-21,UPS,b881da9c-d4b1-438f-9894-4dcee5d2dd23
1886,2236,2022-03-30,2022-01-27,2020-04-19,DHL,
1887,1573,2023-07-13,2023-10-21,2022-05-27,Local Courier,4ccfb9d3-39e6-4d95-8361-259c66d022cb
1888,2093,2020-09-24,2021-06-14,,Local Courier,76fcab03-47ee-4032-a781-53bf35b888ca
1889,1288,2022-11-11,2022-10-09,,UPS,
1890,2975,2023-05-21,2023-11-18,2020-10-30,FedEx,d32de428-e9f2-40f8-bb1c-be43647efc02
1891,1573,2021-08-31,2020-11-25,2023-07-12,Local Courier,
1892,1665,2023-10-23,2023-05-26,,UPS,7329ec36-7b58-4082-9a8c-5b6fc51f56ba
