returnid,orderid,productid,returndate,returnreason,refundamount
1176,879,2494,2021-12-03,Damaged,687.11
1177,1243,2918,2023-01-30,Damaged,26.45
1178,310,1490,2022-07-03,Damaged,889.93
1179,529,2624,2022-02-28,Wrong Item,517.21
1180,1207,2994,2022-10-14,Damaged,861.03
1181,884,1387,2022-05-22,Wrong Item,72.28
1182,1797,2498,2020-01-20,Not as Described,873.32
1183,98,1971,2021-10-15,Damaged,482.81
1184,885,1185,2020-12-13,Other,413.08
1185,3003,204,2020-10-13,Other,496.58
1186,402,2420,2020-10-25,Not as Described,689.47
1187,2819,919,2021-01-02,Damaged,492.22
1188,2480,1776,2023-07-02,Other,564.32
1189,2496,690,2021-06-27,Other,99.48
1190,1235,2303,2022-02-22,Other,56.86
1191,1584,2034,2021-03-13,Other,915.08
1192,2059,1576,2022-04-09,Damaged,632.33
1193,2569,2541,2020-10-26,Other,631.31
1194,117,2046,2022-02-12,Wrong Item,30.65
1195,2985,2263,2023-03-27,Wrong Item,311.13
1196,2484,1299,2022-09-12,Other,35.15
1197,2779,1142,2021-01-15,Not as Described,347.07
1198,262,2063,2023-05-17,Not as Described,520.91
1199,2782,3007,2022-07-09,Wrong Item,146.46
1200,3099,1133,2023-01-07,Wrong Item,542.51
1201,1042,3029,2021-04-01,Not as Described,939.29
1202,2839,1174,2023-10-22,Wrong Item,416.06
1203,1385,999,2022-06-01,Other,348.99
1204,2210,640,2020-07-09,Damaged,546.50
1205,1608,2249,2020-02-15,Damaged,857.03
1206,799,1780,2022-10-18,Damaged,17.43
1207,2244,1642,2022-09-05,Damaged,559.07
1208,1403,2856,2023-09-08,Not as Described,610.21
1209,2623,2376,2020-12-09,Wrong Item,995.92
1210,2139,1525,2023-07-27,Not as Described,923.03
1211,913,74,2023-07-28,Not as Described,83.33
1212,2433,455,2022-06-09,Wrong Item,954.24
1213,127,400,2021-02-03,Other,737.37
1214,2220,2000,2022-07-02,Other,151.95
1215,757,1855,2022-01-04,Damaged,554.35
1216,1855,915,2020-05-05,Wrong Item,120.41
1217,2197,1264,2021-05-28,Damaged,897.74
1218,642,2879,2022-07-10,Damaged,489.51
1219,1441,2822,2020-09-11,Damaged,89.67
1220,3037,2345,2021-03-13,Damaged,179.70
1221,2935,89,2023-06-27,Other,414.14
1222,2595,1240,2022-04-04,Not as Described,761.94
1223,335,2500,2022-03-15,Wrong Item,510.72
1224,3026,2055,2022-12-31,Not as Described,267.88
1225,1060,2721,2020-11-21,Damaged,311.42
1226,891,2481,2023-02-11,Other,590.31
1227,2408,2338,2022-05-27,Damaged,475.39
1228,404,2282,2023-02-05,Damaged,775.82
1229,1763,2401,2021-07-06,Not as Described,518.44
1230,1424,168,2022-04-25,Other,849.99
1231,1584,2034,2020-07-04,Wrong Item,96.43
1232,3077,2430,2023-01-08,Not as Described,847.20
1233,2055,469,2022-11-19,Wrong Item,808.76
1234,1270,1674,2022-02-12,Damaged,428.33
1235,2718,1509,2022-05-30,Not as Described,961.94
1236,2225,283,2021-04-14,Wrong Item,748.33
1237,870,1771,2020-09-11,Wrong Item,846.61
1238,2420,938,2023-07-31,Other,711.95
1239,1588,1113,2022-12-15,Damaged,499.36
1240,3081,1159,2022-10-07,Damaged,221.68
1241,2260,700,2021-10-25,Damaged,359.60
1242,2161,1506,2023-06-16,Not as Described,850.31
1243,139,1426,2021-08-17,Wrong Item,103.51
1244,1623,58,2022-10-28,Other,669.04
1245,1854,517,2021-12-17,Not as Described,412.52
1246,768,3035,2022-11-17,Damaged,126.26
1247,1113,2819,2023-05-31,Damaged,924.34
1248,926,1455,2023-12-01,Not as Described,857.01
1249,1244,1789,2023-10-17,Other,199.23
1250,979,1722,2023-02-08,Damaged,111.80
1251,346,1277,2021-02-26,Not as Described,764.65
1252,1940,2494,2023-08-30,Damaged,853.85
1253,2052,2879,2021-01-31,Damaged,524.18
1254,623,1812,2022-06-08,Damaged,661.21
1255,929,1543,2023-11-12,Not as Described,365.01
1256,393,1129,2023-01-13,Damaged,267.44
1257,1000,64,2022-05-04,Not as Described,33.44
1258,2934,1759,2023-12-16,Wrong Item,239.02
1259,2581,2815,2020-01-14,Damaged,705.37
1260,1182,820,2020-08-26,Wrong Item,676.68
1261,3058,1870,2020-03-22,Other,534.70
1262,495,285,2020-03-23,Wrong Item,117.07
1263,3095,86,2023-05-06,Other,769.16
1264,1539,2260,2022-12-08,Not as Described,576.25
1265,979,1722,2023-12-27,Other,390.30
1266,2255,1050,2022-06-05,Damaged,417.68
1267,1926,1372,2023-01-26,Damaged,647.73
1268,2255,1050,2021-06-05,Other,616.89
1269,1134,2894,2021-09-25,Damaged,966.82
1270,1964,1328,2021-12-20,Damaged,170.00
1271,80,2674,2023-03-18,Other,792.38
1272,545,1575,2021-09-20,Not as Described,185.62
1273,1506,515,2022-07-04,Not as Described,222.10
1274,2245,2439,2023-06-07,Damaged,184.93
1275,168,451,2020-07-04,Not as Described,429.96
1276,769,1253,2020-08-24,Wrong Item,137.07
1277,1146,2892,2020-01-02,Other,766.65
1278,1742,2327,2021-10-12,Damaged,412.62
1279,416,304,2020-05-08,Wrong Item,410.15
1280,31,370,2023-07-02,Not as Described,967.56
1281,2794,1632,2021-09-28,Wrong Item,484.76
1282,2097,645,2021-11-06,Damaged,234.00
1283,1085,766,2023-10-13,Damaged,657.79
1284,1157,2621,2021-09-28,Other,649.43
1285,789,868,2021-07-02,Wrong Item,922.23
1286,1117,1810,2020-11-24,Not as Described,987.03
1287,943,1472,2021-10-01,Damaged,320.08
1288,2978,1540,2021-04-09,Not as Described,396.19
1289,2892,559,2020-06-07,Not as Described,817.16
1290,1233,993,2021-05-06,Other,480.17
1291,1697,499,2020-07-01,Wrong Item,874.78
1292,1242,1292,2020-06-11,Not as Described,170.46
1293,3010,1413,2023-12-27,Other,781.84
1294,2079,1133,2023-02-27,Other,514.25
1295,2419,2584,2021-01-24,Not as Described,35.95
1296,2540,3063,2022-03-21,Other,918.46
1297,1015,2545,2022-08-24,Wrong Item,806.26
1298,2213,997,2023-01-09,Damaged,795.55
1299,1214,440,2020-07-21,Other,187.67
1300,274,2332,2020-01-10,Other,854.73
1301,2627,610,2021-09-08,Damaged,316.29
1302,1824,894,2020-08-16,Damaged,916.03
1303,277,208,2022-11-23,Other,608.35
1304,1861,2783,2023-08-03,Damaged,158.26
1305,2952,819,2023-08-13,Other,333.73
1306,1631,573,2021-01-30,Wrong Item,667.82
1307,502,471,2021-07-01,Not as Described,926.66
1308,134,2691,2023-02-12,Not as Described,918.95
1309,2745,308,2020-12-21,Not as Described,894.92
1310,3074,1423,2023-08-06,Wrong Item,248.13
1311,1077,2269,2021-09-29,Not as Described,366.44
1312,1554,289,2021-11-27,Wrong Item,638.99
1313,162,2314,2022-02-02,Damaged,527.33
1314,1885,1167,2021-04-13,Wrong Item,881.65
1315,1254,306,2022-12-04,Damaged,886.04
1316,2168,2825,2022-08-30,Wrong Item,133.17
1317,2858,866,2023-10-07,Other,205.47
1318,842,2300,2020-10-20,Wrong Item,787.08
1319,2097,1961,2023-01-28,Wrong Item,595.19
1320,617,327,2023-12-25,Damaged,359.44
1321,246,2076,2022-12-19,Wrong Item,880.55
1322,254,2819,2021-09-12,Wrong Item,920.86
1323,2269,1573,2023-06-18,Wrong Item,654.26
1324,400,454,2021-01-05,Damaged,798.45
1325,2088,2912,2023-12-19,Not as Described,220.17
1326,2743,1046,2020-03-01,Not as Described,674.74
1327,2903,1322,2021-02-21,Damaged,739.93
1328,194,2516,2023-02-21,Damaged,432.87
1329,274,692,2021-11-23,Damaged,298.80
1330,1517,3017,2021-08-29,Other,70.65
1331,2667,2655,2021-05-19,Wrong Item,421.00
1332,727,1874,2023-08-19,Not as Described,38.28
1333,2261,2755,2022-07-20,Other,887.65
1334,1748,2943,2020-08-07,Not as Described,26.24
1335,1147,2533,2021-07-06,Wrong Item,567.02
1336,2315,952,2021-12-26,Not as Described,953.00
1337,2200,2611,2020-04-30,Wrong Item,634.48
1338,1029,940,2021-07-14,Damaged,61.46
1339,2811,2333,2020-10-11,Other,969.06
1340,2477,200,2022-12-10,Other,848.96
1341,586,1114,2020-05-09,Other,628.14
1342,1902,615,2023-03-28,Wrong Item,511.68
1343,2673,523,2023-12-11,Damaged,358.93
1344,774,1729,2020-03-30,Damaged,684.47
1345,299,2280,2023-07-29,Wrong Item,267.58
1346,1196,874,2021-08-31,Wrong Item,144.46
1347,70,1358,2022-09-12,Wrong Item,159.96
1348,1735,2601,2021-12-30,Wrong Item,346.89
1349,41,954,2020-12-09,Not as Described,29.90
1350,2185,1422,2021-03-27,Not as Described,119.23
1351,2876,279,2020-03-26,Other,35.79
1352,1841,188,2021-05-30,Not as Described,829.53
1353,2987,1600,2023-02-21,Other,815.68
1354,2866,2273,2023-10-26,Not as Described,536.16
1355,2368,678,2021-05-22,Wrong Item,70.69
1356,581,2902,2020-06-19,Wrong Item,252.55
1357,2907,2072,2022-06-06,Not as Described,780.86
1358,1632,1749,2021-07-09,Other,573.45
1359,2185,1864,2020-10-30,Damaged,867.52
1360,1015,1222,2021-10-15,Damaged,947.75
1361,1742,2327,2021-01-06,Damaged,175.26
1362,769,1253,2021-11-08,Not as Described,490.40
1363,1658,1541,2020-01-01,Other,624.54
1364,2,595,2022-09-03,Other,195.56
1365,1896,529,2022-08-08,Wrong Item,348.33
1366,540,2656,2021-09-24,Not as Described,226.93
1367,262,2063,2020-04-13,Other,78.30
1368,2434,283,2021-09-25,Damaged,176.26
1369,2496,690,2023-09-28,Wrong Item,812.22
1370,2090,1246,2022-04-27,Wrong Item,797.81
1371,1747,834,2022-09-04,Not as Described,888.75
1372,476,3029,2021-12-12,Wrong Item,155.73
1373,2903,1322,2020-05-26,Damaged,670.08
1374,616,2729,2023-08-29,Wrong Item,401.53
1375,1772,2901,2022-04-29,Damaged,695.38
1376,164,127,2022-06-21,Damaged,857.49
1377,1249,396,2022-02-05,Wrong Item,141.42
1378,2031,1102,2023-08-29,Other,335.36
1379,2924,1536,2021-09-23,Damaged,108.07
1380,2635,2790,2022-09-26,Damaged,535.69
1381,651,2963,2023-03-03,Not as Described,445.56
1382,113,2202,2023-06-20,Wrong Item,522.28
1383,1787,1639,2023-12-24,Other,592.08
1384,1427,1136,2021-12-04,Other,736.89
1385,1800,1193,2023-05-03,Wrong Item,141.58
1386,2109,949,2020-04-08,Other,560.88
1387,2936,1244,2021-12-27,Wrong Item,629.75
1388,2235,2095,2022-07-19,Damaged,71.50
1389,2410,864,2021-06-16,Not as Described,311.71
1390,2095,1573,2022-08-09,Not as Described,719.65
1391,1363,1616,2021-03-22,Wrong Item,918.74
1392,179,2053,2021-07-05,Not as Described,121.43
1393,1137,676,2020-08-25,Other,182.42
1394,476,3029,2022-12-31,Not as Described,503.94
1395,2939,531,2022-06-24,Other,872.84
1396,712,1517,2021-08-10,Other,408.16
1397,2044,1889,2021-01-08,Not as Described,987.36
1398,2753,2429,2020-03-07,Wrong Item,85.06
1399,1890,2395,2020-04-25,Wrong Item,651.61
1400,3092,1292,2023-07-18,Other,811.90
1401,1060,2261,2023-11-14,Wrong Item,407.80
1402,2899,1336,2021-05-06,Other,182.85
1403,258,2350,2022-07-25,Wrong Item,34.79
1404,2975,558,2022-04-28,Not as Described,450.67
1405,567,1544,2021-02-18,Not as Described,321.12
1406,150,1291,2022-04-14,Damaged,318.99
1407,678,2151,2023-02-19,Other,434.10
1408,1206,1194,2021-10-22,Wrong Item,121.92
1409,234,1990,2021-11-18,Wrong Item,380.66
1410,2422,2817,2021-02-09,Damaged,624.54
1411,2522,2641,2022-02-23,Wrong Item,775.15
1412,628,2176,2023-08-20,Not as Described,141.04
1413,113,2779,2021-01-19,Not as Described,328.74
1414,636,957,2020-11-15,Not as Described,781.69
1415,2294,1937,2020-08-09,Not as Described,223.69
1416,135,2284,2023-06-11,Damaged,977.55
1417,2871,2791,2020-11-07,Damaged,357.43
1418,456,2674,2022-01-26,Wrong Item,266.59
1419,2623,2376,2022-03-18,Other,528.53
1420,866,32,2023-07-24,Not as Described,821.42
1421,1101,249,2022-09-26,Other,816.70
1422,2175,2260,2023-03-25,Wrong Item,877.18
1423,525,991,2021-01-19,Wrong Item,473.83
1424,1506,515,2021-11-13,Not as Described,993.16
1425,647,1439,2023-03-29,Wrong Item,554.16
1426,1288,2020,2021-08-23,Wrong Item,525.73
1427,514,2075,2021-03-02,Damaged,755.77
1428,1564,2111,2023-02-23,Other,658.89
1429,2858,866,2023-08-30,Not as Described,816.93
1430,221,600,2020-06-15,Not as Described,562.45
1431,1910,102,2021-03-21,Wrong Item,265.33
1432,2091,1213,2022-08-30,Wrong Item,13.79
1433,465,2568,2021-01-31,Not as Described,767.96
1434,1747,834,2020-03-11,Not as Described,865.11
1435,1049,1008,2023-01-20,Wrong Item,463.28
1436,1393,1402,2022-10-03,Damaged,733.33
1437,1005,3079,2020-11-25,Other,371.66
1438,1787,1639,2020-02-29,Not as Described,804.17
1439,1212,2464,2020-06-05,Wrong Item,118.72
1440,2126,1476,2021-02-14,Other,382.51
1441,300,233,2023-11-09,Not as Described,444.18
1442,400,454,2021-04-09,Wrong Item,183.09
1443,2059,498,2020-07-10,Not as Described,204.16
1444,1808,1194,2022-11-13,Wrong Item,537.55
1445,389,1979,2023-04-23,Other,905.56
1446,3006,2133,2023-03-30,Damaged,363.54
1447,101,1226,2022-12-25,Damaged,200.38
1448,210,1097,2021-01-06,Other,760.85
1449,710,2082,2022-12-29,Damaged,717.43
1450,2765,1703,2020-05-05,Other,451.45
1451,1824,894,2023-07-16,Damaged,859.41
1452,2700,2424,2023-04-26,Other,911.07
1453,1848,194,2021-01-05,Not as Described,952.53
1454,2407,1991,2021-03-08,Not as Described,597.95
1455,409,2039,2021-10-10,Damaged,335.55
1456,92,1432,2022-06-16,Not as Described,369.45
1457,2247,296,2020-06-29,Other,862.24
1458,1258,2754,2022-07-28,Wrong Item,526.38
1459,2288,2481,2021-07-23,Damaged,423.66
1460,2371,929,2023-06-21,Damaged,714.54
1461,26,1836,2023-01-02,Other,11.53
1462,104,390,2020-04-18,Damaged,775.57
1463,2544,383,2020-06-19,Damaged,753.98
1464,2914,1744,2020-06-06,Not as Described,308.19
1465,967,2849,2023-01-19,Other,569.41
1466,372,226,2023-05-10,Wrong Item,363.83
1467,833,2361,2023-01-06,Not as Described,917.22
1468,2341,1519,2023-09-22,Not as Described,221.99
1469,2814,1124,2022-11-03,Wrong Item,36.59
1470,82,877,2022-06-11,Not as Described,952.68
1471,69,2067,2020-08-21,Other,87.09
1472,340,1380,2021-11-29,Wrong Item,211.19
1473,3037,2345,2020-10-29,Damaged,475.70
1474,1412,273,2020-05-22,Wrong Item,343.48
1475,642,709,2020-05-08,Damaged,315.87
1476,1682,2675,2022-11-08,Wrong Item,277.64
1477,1987,997,2021-12-13,Other,620.18
1478,1024,572,2023-10-05,Damaged,362.65
1479,635,442,2021-12-04,Wrong Item,702.02
1480,1467,2162,2021-02-26,Not as Described,732.30
1481,305,1458,2020-04-13,Not as Described,463.16
1482,2808,716,2022-03-05,Wrong Item,101.68
1483,1194,2233,2021-06-13,Other,865.26
1484,1524,1262,2020-06-07,Damaged,832.62
1485,1331,2516,2021-05-07,Damaged,786.08
1486,459,1370,2022-11-13,Not as Described,855.36
1487,31,370,2023-05-01,Damaged,40.70
1488,788,1765,2021-03-11,Not as Described,186.23
1489,161,522,2021-03-26,Other,549.81
1490,1862,2732,2023-08-05,Wrong Item,860.40
1491,987,2132,2022-04-26,Other,957.03
1492,1584,490,2022-07-08,Other,934.34
1493,605,1526,2020-01-24,Damaged,616.84
1494,1556,1344,2020-01-12,Damaged,702.29
1495,1559,2866,2021-05-06,Damaged,627.18
1496,2220,2000,2020-12-15,Other,335.89
1497,2447,72,2021-10-05,Damaged,443.61
1498,928,1042,2023-04-15,Damaged,736.12
1499,949,2184,2023-06-22,Damaged,926.46
1500,1898,533,2023-12-16,Other,191.33
1501,1558,2370,2023-02-24,Damaged,803.81
1502,2792,1978,2020-10-26,Damaged,648.34
1503,944,310,2023-10-09,Damaged,349.66
1504,315,1934,2021-11-02,Damaged,962.13
1505,315,1934,2020-11-08,Other,182.95
1506,2005,2458,2023-10-15,Not as Described,432.81
1507,18,1178,2020-04-15,Not as Described,262.35
1508,2263,1652,2020-07-20,Wrong Item,78.64
1509,1338,418,2022-10-14,Wrong Item,228.33
1510,2120,2090,2021-04-15,Damaged,583.38
1511,1133,1752,2021-01-07,Not as Described,395.58
1512,1027,2801,2020-02-11,Other,401.47
1513,62,2464,2020-03-05,Other,59.57
1514,944,2802,2023-12-12,Damaged,778.12
1515,2901,1486,2021-11-09,Damaged,678.53
1516,3040,826,2021-10-06,Not as Described,418.36
1517,100,2727,2022-04-04,Other,777.75
1518,2431,2732,2023-01-13,Damaged,43.81
1519,915,2658,2022-10-02,Not as Described,171.03
1520,1086,2960,2023-09-17,Damaged,578.66
1521,67,2898,2021-08-13,Damaged,607.16
1522,175,2468,2023-03-01,Not as Described,885.26
1523,1390,487,2022-05-04,Wrong Item,398.82
1524,1330,963,2021-04-01,Damaged,110.41
1525,670,346,2023-11-26,Not as Described,99.07
1526,1800,992,2021-10-07,Damaged,39.61
1527,2620,578,2023-07-12,Damaged,284.09
1528,671,2909,2023-12-12,Damaged,345.77
1529,175,2468,2021-01-12,Not as Described,391.57
1530,184,2881,2021-03-06,Other,601.77
1531,2991,320,2021-07-23,Other,847.44
1532,247,1518,2021-03-16,Damaged,329.84
1533,363,1785,2021-03-23,Damaged,819.84
1534,2857,2793,2020-06-05,Not as Described,172.71
1535,24,790,2023-02-04,Other,670.09
1536,472,205,2023-10-31,Not as Described,952.02
1537,843,53,2022-10-04,Damaged,735.42
1538,191,1126,2021-05-15,Other,845.91
1539,1611,3100,2020-11-01,Other,344.37
1540,2782,3007,2023-05-27,Wrong Item,608.80
1541,1243,1608,2022-11-25,Damaged,743.57
1542,1911,663,2020-10-02,Wrong Item,334.22
1543,460,597,2021-05-08,Wrong Item,650.97
1544,2151,911,2020-11-28,Wrong Item,673.06
1545,588,229,2022-01-08,Not as Described,222.00
1546,2569,2541,2022-07-07,Not as Described,615.74
1547,784,504,2023-10-29,Damaged,313.19
1548,2960,1988,2022-03-23,Wrong Item,810.36
1549,2937,537,2021-01-25,Not as Described,328.36
1550,2503,2096,2021-03-21,Damaged,247.76
1551,795,2179,2021-06-23,Not as Described,897.74
1552,2598,751,2021-09-25,Not as Described,298.22
1553,1845,1295,2021-01-13,Not as Described,450.60
1554,1096,2587,2023-09-22,Not as Described,756.54
1555,2768,2328,2023-01-28,Wrong Item,66.01
1556,738,1873,2021-11-19,Not as Described,330.06
1557,1563,1237,2021-12-14,Damaged,695.69
1558,1077,2269,2023-10-05,Not as Described,330.37
1559,2850,140,2021-08-30,Other,960.26
1560,1503,1061,2023-06-16,Damaged,413.31
1561,1687,1394,2020-07-29,Wrong Item,712.02
1562,1917,1572,2022-08-21,Damaged,617.14
1563,925,2202,2023-04-20,Other,915.87
1564,2309,1131,2020-07-31,Damaged,664.14
1565,2974,706,2021-03-30,Not as Described,78.81
1566,2638,634,2021-07-01,Not as Described,374.96
1567,335,2500,2020-07-06,Not as Described,715.18
1568,1285,1744,2022-02-26,Wrong Item,873.95
1569,2842,217,2020-10-27,Not as Described,362.15
1570,1572,577,2021-01-26,Not as Described,97.35
1571,659,344,2020-01-14,Wrong Item,875.58
1572,2740,2671,2022-03-13,Damaged,734.03
1573,2541,2399,2020-10-11,Other,916.50
1574,2910,520,2023-06-29,Damaged,501.35
1575,384,765,2021-09-12,Wrong Item,699.41
1576,1556,1344,2020-07-18,Not as Described,25.40
1577,220,614,2021-07-13,Damaged,348.24
1578,1015,1253,2021-10-28,Wrong Item,415.20
1579,118,2239,2020-05-01,Other,189.75
1580,2786,409,2020-08-09,Not as Described,703.68
1581,2405,3095,2022-02-25,Not as Described,695.84
1582,2313,1922,2023-01-30,Wrong Item,370.22
1583,2763,2511,2023-08-25,Not as Described,763.60
1584,1296,36,2022-02-19,Not as Described,745.52
1585,1435,1393,2021-08-28,Damaged,115.95
1586,2733,1976,2023-03-24,Not as Described,625.12
1587,1477,1834,2023-08-22,Wrong Item,555.76
1588,2877,1556,2021-01-21,Damaged,12.53
1589,3058,1870,2023-07-10,Wrong Item,266.36
1590,1536,2688,2021-02-23,Damaged,266.99
1591,354,1557,2022-11-28,Damaged,991.75
1592,2379,2154,2020-05-11,Other,81.12
1593,1769,2074,2021-03-10,Not as Described,584.53
1594,1713,1970,2022-08-27,Wrong Item,33.57
1595,2667,2655,2022-07-14,Wrong Item,709.92
1596,1412,273,2022-08-16,Not as Described,545.74
1597,159,412,2023-01-24,Not as Described,704.97
1598,1892,1138,2022-06-26,Damaged,727.08
1599,553,475,2020-04-14,Not as Described,379.45
1600,2484,2745,2021-02-01,Wrong Item,829.40
1601,731,1693,2021-04-28,Wrong Item,690.17
1602,787,1926,2020-03-11,Not as Described,442.25
1603,594,2533,2023-04-07,Other,488.33
1604,1457,2991,2022-12-17,Other,385.77
1605,127,400,2022-05-03,Wrong Item,108.22
1606,2924,604,2020-03-17,Wrong Item,92.70
1607,204,1173,2021-02-09,Wrong Item,91.22
1608,2288,2877,2020-11-17,Wrong Item,515.95
1609,918,1632,2021-10-20,Wrong Item,436.33
1610,218,2260,2021-06-17,Wrong Item,382.12
1611,2051,1779,2020-01-17,Damaged,894.18
1612,2201,1130,2023-07-19,Not as Described,367.40
1613,1698,1095,2023-12-11,Wrong Item,680.62
1614,2059,389,2021-08-14,Other,821.20
1615,1328,3082,2022-04-02,Not as Described,946.39
1616,1182,820,2020-05-02,Other,210.24
1617,3047,2818,2020-12-09,Not as Described,506.38
1618,1471,411,2022-03-26,Damaged,421.93
1619,163,2145,2020-05-21,Not as Described,665.22
1620,2347,1865,2022-10-16,Wrong Item,16.15
1621,36,1177,2023-01-16,Wrong Item,492.77
1622,1147,2688,2022-12-16,Wrong Item,542.02
1623,2133,2606,2022-07-02,Wrong Item,830.14
1624,1103,227,2021-10-03,Damaged,411.68
1625,2514,86,2021-03-17,Wrong Item,290.12
1626,1165,904,2022-04-21,Wrong Item,538.20
1627,1044,2910,2020-11-11,Wrong Item,880.07
1628,130,1615,2020-12-05,Other,106.45
1629,1802,1399,2020-06-02,Not as Described,647.54
1630,1045,1777,2022-09-22,Wrong Item,199.76
1631,3037,2345,2023-09-25,Not as Described,839.22
1632,2244,1993,2021-06-21,Other,368.47
1633,2020,813,2023-02-23,Other,116.83
1634,2124,1782,2020-01-28,Wrong Item,277.41
1635,2410,2520,2021-05-21,Not as Described,740.76
1636,645,81,2023-11-30,Not as Described,625.64
1637,679,1281,2020-12-15,Not as Described,35.05
1638,2723,1314,2021-03-12,Other,506.18
1639,597,2151,2021-06-14,Not as Described,210.24
1640,2723,1314,2023-06-21,Other,279.55
1641,2728,457,2023-05-09,Wrong Item,84.89
1642,1432,2743,2020-11-05,Wrong Item,469.90
1643,714,1278,2023-03-15,Wrong Item,919.18
1644,1596,866,2020-03-12,Wrong Item,288.83
1645,2313,1922,2021-05-22,Wrong Item,212.63
1646,1996,697,2023-11-11,Other,782.27
1647,181,1505,2020-03-01,Damaged,18.42
1648,225,1949,2021-11-06,Other,229.14
1649,2031,2848,2021-05-01,Not as Described,17.57
1650,62,1400,2022-09-16,Wrong Item,185.99
1651,440,270,2020-01-02,Damaged,899.86
1652,1454,2844,2021-07-04,Other,944.47
1653,1870,2028,2023-11-13,Not as Described,572.81
1654,910,468,2020-12-01,Not as Described,648.79
1655,330,2726,2020-11-22,Damaged,931.44
1656,2053,2237,2021-05-30,Other,605.16
1657,2577,2190,2022-12-05,Not as Described,74.89
1658,1027,2801,2022-07-30,Wrong Item,941.08
1659,1556,1344,2023-05-25,Wrong Item,205.51
1660,1497,2231,2022-02-12,Not as Described,858.58
1661,2672,2385,2021-02-16,Wrong Item,507.71
1662,1405,2785,2023-02-18,Wrong Item,71.99
1663,2342,1794,2023-09-01,Wrong Item,853.65
1664,315,1934,2020-04-09,Damaged,559.06
1665,1708,1602,2020-10-26,Other,758.46
1666,3050,2499,2022-10-20,Other,60.43
1667,2608,297,2020-03-14,Other,90.31
1668,775,314,2023-06-02,Damaged,156.24
1669,1013,328,2022-10-28,Wrong Item,673.73
1670,1130,2473,2020-06-01,Not as Described,636.65
1671,671,2909,2020-07-22,Wrong Item,147.00
1672,1200,1134,2020-12-23,Other,771.78
1673,166,1202,2021-03-02,Not as Described,534.41
1674,2491,1167,2021-06-07,Wrong Item,319.13
1675,3072,133,2023-01-05,Other,222.80
1676,1146,2892,2020-07-05,Other,823.65
1677,2763,2511,2023-08-27,Damaged,776.19
1678,1780,1274,2020-07-31,Other,322.82
1679,2728,457,2021-12-17,Not as Described,22.31
1680,2937,537,2020-06-03,Other,734.68
1681,2961,2685,2022-11-01,Other,719.45
1682,2924,604,2023-03-18,Other,759.57
1683,2574,313,2020-10-21,Wrong Item,86.75
1684,2571,2316,2020-09-17,Not as Described,710.77
1685,2339,1529,2021-03-21,Damaged,569.42
1686,2407,1991,2021-11-13,Other,584.68
1687,1702,2358,2022-07-14,Damaged,276.64
1688,2477,200,2021-08-29,Other,295.47
1689,2789,2685,2022-02-19,Not as Described,170.25
1690,746,1722,2020-12-31,Other,537.45
1691,1358,1215,2023-03-03,Damaged,615.88
1692,381,10,2023-04-14,Damaged,408.43
1693,824,1186,2021-04-27,Wrong Item,808.52
1694,346,430,2022-06-22,Wrong Item,163.55
1695,153,1815,2022-06-13,Wrong Item,825.29
1696,1994,1677,2021-10-23,Damaged,136.40
1697,2095,1573,2023-09-02,Damaged,108.03
1698,2544,383,2020-03-19,Not as Described,779.50
1699,41,954,2021-09-07,Not as Described,47.26
1700,1277,983,2020-03-19,Not as Described,305.10
1701,184,2881,2020-12-14,Other,636.67
1702,1585,321,2023-06-16,Damaged,322.10
1703,2858,1390,2021-06-15,Not as Described,382.11
1704,2328,2498,2022-09-18,Damaged,438.36
1705,1315,1363,2021-12-27,Damaged,186.94
1706,153,1815,2023-11-12,Wrong Item,912.65
1707,2742,77,2020-01-15,Wrong Item,318.93
1708,377,1214,2023-03-25,Damaged,484.14
1709,2509,877,2021-03-19,Other,555.17
1710,1738,2769,2020-12-30,Other,62.78
1711,2437,422,2021-03-28,Damaged,217.27
1712,2804,3072,2022-07-07,Wrong Item,808.03
1713,2782,3007,2021-08-01,Wrong Item,982.65
1714,1236,1931,2020-10-13,Not as Described,485.05
1715,1583,927,2022-01-09,Wrong Item,612.49
1716,837,1740,2021-02-23,Other,558.86
1717,824,1900,2023-10-03,Not as Described,340.13
1718,81,2731,2020-10-28,Damaged,823.07
1719,2013,1157,2020-10-23,Damaged,149.92
1720,2717,185,2023-08-21,Other,288.68
1721,2138,756,2021-07-29,Not as Described,471.80
1722,2002,2593,2023-05-25,Other,590.01
1723,340,1718,2021-07-05,Other,16.76
1724,2367,2653,2020-08-24,Damaged,994.88
1725,239,2535,2022-04-09,Wrong Item,543.74
1726,2759,381,2022-05-26,Not as Described,364.98
1727,585,1689,2020-05-05,Other,130.53
1728,2711,1305,2023-07-15,Other,135.12
1729,2736,724,2023-05-12,Damaged,690.53
1730,2130,1604,2022-01-16,Damaged,510.25
1731,2422,2817,2023-11-05,Other,768.51
1732,221,600,2023-08-07,Wrong Item,960.64
1733,3030,2603,2020-08-18,Damaged,841.09
1734,988,2495,2021-08-06,Other,649.71
1735,3006,2133,2022-06-28,Other,242.89
1736,1578,526,2020-01-14,Wrong Item,883.73
1737,1331,2516,2023-12-17,Other,383.39
1738,2415,1219,2023-03-17,Wrong Item,150.12
1739,2641,731,2020-08-31,Not as Described,212.52
1740,2075,2591,2020-09-26,Wrong Item,859.28
1741,3025,2913,2021-03-14,Other,198.33
